data,valor_fechamento,criptomoeda,volume_compra,volume_venda,change,gain,loss,avg_gain,avg_loss,rs,rsi,ema_short,ema_long,macd,macd_signal,indicativo_macd,max_50,gradiente_ema_curto,gradiente_ema_longo,grad_n3,grad_n5,grad_n7,grad_n10,grad_n12,grad_n15,grad_n20
2025-09-06 14:00:00,202.17,SOLUSDT,13356.359,2704347.85778,-0.160000000000025,0.0,0.160000000000025,0.11218395682746587,0.14471607834519565,0.7752003655037562,43.66833066101663,202.18823786933768,202.78137044117383,-0.5931325718361506,-0.5596929538093608,Baixa,204.41,-0.05403115468216565,-0.04050802603200928,0.019574161924222445,-0.05403115468216565,-0.06939268771756216,-0.05461668701239708,-0.05249907311273945,-0.05538875279223457,-0.0497860256256236
2025-09-06 14:15:00,202.32,SOLUSDT,35606.373,7195999.29733,0.15000000000000568,0.15000000000000568,-0.0,0.11488510276836159,0.1343792156062531,0.854932083433114,46.08967040188356,202.22117840200326,202.75886456599463,-0.537686163991367,-0.555291595845762,Alta,204.38,-0.014273366011614982,-0.03341007354261952,0.013430621443187084,-0.014273366011614982,-0.0476695157881582,-0.05390190919868947,-0.046813116023354806,-0.053104064594179545,-0.049332000422226255
2025-09-06 14:30:00,202.44,SOLUSDT,13275.915,2687107.51219,0.12000000000000455,0.12000000000000455,-0.0,0.1152504525706218,0.12478070020580645,0.9236240250337915,48.01478942942432,202.27588380150246,202.7433101969217,-0.46742639541923836,-0.5377185557604574,Alta,204.38,0.028044975491280866,-0.024219338247862425,0.04382296608236785,0.028044975491280866,-0.018341422555390556,-0.045926431899015976,-0.04199794890563115,-0.04694411987420196,-0.046149376256515745
2025-09-06 14:45:00,202.05,SOLUSDT,11458.68,2315862.65366,-0.38999999999998636,0.0,0.38999999999998636,0.10701827738700596,0.14372493590539073,0.7446048016153055,42.68042830822695,202.21941285112683,202.70949018731577,-0.4900773361889321,-0.5281903118461523,Alta,204.38,0.013783731618466421,-0.02445254126016297,-0.0008827754382175348,0.013783731618466421,8.321879774288843e-05,-0.03476300574244151,-0.03967153860230017,-0.04039558990565627,-0.044183460763821646
2025-09-06 15:00:00,201.52,SOLUSDT,21301.07,4298147.5268,-0.5300000000000011,0.0,0.5300000000000011,0.09937411471650555,0.17131601191214862,0.5800632037095569,36.71139245238588,202.04455963834513,202.65146627573938,-0.6069066373942462,-0.543933576955771,Baixa,204.38,-0.028912201286178392,-0.030918270954783406,-0.11566208157865578,-0.028912201286178392,-0.006276871615979474,-0.03154195127652255,-0.04157183576990537,-0.03916276385780884,-0.04482180609917609
2025-09-06 15:15:00,202.15,SOLUSDT,9407.512,1899968.72255,0.6299999999999955,0.6299999999999955,-0.0,0.13727596366532627,0.15907915391842373,0.8629412483279978,46.321441918927576,202.07091972875884,202.6270045061911,-0.556084777432261,-0.5463638170510691,Baixa,204.38,-0.053184150964643344,-0.03555640407893737,-0.07424656118401322,-0.053184150964643344,-0.023546939426281277,-0.025459493760419928,-0.03693062507917439,-0.038961358607643236,-0.04512199367213122
2025-09-06 15:30:00,201.74,SOLUSDT,7344.32,1482748.86696,-0.4099999999999966,0.0,0.4099999999999966,0.12747053768923153,0.17700207149567895,0.7201641009740578,41.86601153728639,201.98818979656915,202.58373599369398,-0.5955461971248326,-0.5562002930658217,Baixa,204.38,-0.07238811322347735,-0.040163408758014996,-0.028184920888023286,-0.07238811322347735,-0.04042806171256003,-0.024624923350628856,-0.03383433244574422,-0.0405781618128816,-0.044536983975904255
2025-09-06 15:45:00,201.26,SOLUSDT,34353.541,6917272.69229,-0.4800000000000182,0.0,0.4800000000000182,0.11836549928285785,0.19864478067456035,0.595865136153645,37.33806338985508,201.80614234742686,202.5191635061967,-0.7130211587698341,-0.5875644662066243,Baixa,204.21,-0.08829108491761388,-0.04483836442835105,-0.13238869066599776,-0.08829108491761388,-0.07032104628442352,-0.03455960160388232,-0.03702784723640613,-0.0446300499310854,-0.04513394098944491
2025-09-06 16:00:00,201.37,SOLUSDT,20563.294,4140963.35088,0.11000000000001364,0.11000000000001364,-0.0,0.11776796361979755,0.1844558677692346,0.6384614653036268,38.967133425094744,201.69710676057014,202.46310674979685,-0.7659999892267138,-0.6232515708106422,Baixa,204.07,-0.09596831368819089,-0.04845600518796455,-0.14554151799950849,-0.09596831368819089,-0.09354435614188332,-0.05517727696049313,-0.04359256374896853,-0.047508251734029394,-0.04588053093005522
2025-09-06 16:15:00,201.66,SOLUSDT,35600.698,7160688.15335,0.28999999999999204,0.28999999999999204,-0.0,0.13007025193266858,0.17128044864286068,0.7593992949182421,43.162418963770854,201.6878300704276,202.42393081078237,-0.7361007403547717,-0.6458214047194681,Baixa,203.71,-0.10572623526614654,-0.052677663471464194,-0.05915613849962158,-0.10572623526614654,-0.09122969567783992,-0.06780720014460163,-0.04957379344110847,-0.04869368880052585,-0.04680889443814384
2025-09-06 16:30:00,201.8,SOLUSDT,10412.588,2100632.67343,0.14000000000001478,0.14000000000001478,-0.0,0.13077951965176474,0.15904613088265634,0.8222741347178913,45.12351457181763,201.7158725528207,202.3934951614759,-0.6776226086551844,-0.6521816455066114,Baixa,203.71,-0.06629467644961819,-0.04757143598503863,0.009382896125286864,-0.06629467644961819,-0.07297584318694023,-0.07317358192663381,-0.05752125417173871,-0.04812740945753289,-0.04807471594138797
2025-09-06 16:45:00,201.62,SOLUSDT,17010.114,3435196.53653,-0.18000000000000682,0.0,0.18000000000000682,0.1214381253909244,0.16054283581960996,0.7564219528760249,43.06607257085542,201.69190441461552,202.35576369018438,-0.6638592755688535,-0.6545171715190599,Baixa,203.49,-0.020971007337226243,-0.039641122034597215,0.0020371720939667123,-0.020971007337226243,-0.06428545381878972,-0.0719256409904356,-0.06130527629314597,-0.04788127137886561,-0.04926844297108072
2025-09-06 17:00:00,201.61,SOLUSDT,7123.361,1436405.09536,-0.009999999999990905,0.0,0.009999999999990905,0.11276397357728694,0.1497897761182086,0.7528148883025084,42.94890996912757,201.67142831096163,202.31938497359002,-0.6479566626283884,-0.6532050697409256,Alta,203.49,-0.004728255502936176,-0.035561067301180256,-0.02222212092954693,-0.004728255502936176,-0.041428376078369966,-0.0617321095306947,-0.0626397963806906,-0.04811631067701324,-0.04940809914560186
2025-09-06 17:15:00,201.17,SOLUSDT,10071.966,2028081.06377,-0.44000000000002615,0.0,0.44000000000002615,0.10470940403605215,0.17051907782405268,0.6140626924108448,38.04453787935895,201.54607123322123,202.26331741390268,-0.7172461806814567,-0.6660132919290319,Baixa,203.49,-0.032796191627178936,-0.03953369816454773,-0.0729165906971577,-0.032796191627178936,-0.029553424915935465,-0.05481423366317806,-0.06368439274006445,-0.05385509015061743,-0.04933614954717444
2025-09-06 17:30:00,200.05,SOLUSDT,84318.701,16888593.09095,-1.1199999999999761,0.0,1.1199999999999761,0.09723016089061985,0.2383391436937615,0.40794877158554144,28.974688555332577,201.17205342491593,202.15535071078548,-0.9832972858695541,-0.7294700907171364,Baixa,203.49,-0.12334714372041358,-0.056873517766272204,-0.24968744302286447,-0.12334714372041358,-0.06796864011552367,-0.07179249342920017,-0.07190665119839758,-0.06549846047010065,-0.05374271366413625
2025-09-06 17:45:00,200.15,SOLUSDT,35896.497,7180862.57744,0.09999999999999432,0.09999999999999432,-0.0,0.09742800654128946,0.22131491914420712,0.44022340164878854,30.566327497860016,200.91654006868694,202.0575287248935,-1.1409886562065594,-0.8117738038150211,Baixa,203.49,-0.20501035779029073,-0.07605041933864944,-0.314765582267145,-0.20501035779029073,-0.1266907658009157,-0.09037467310220094,-0.08480411427292908,-0.08005241678114443,-0.06085214803005976
2025-09-06 18:00:00,200.62,SOLUSDT,19172.587,3841258.7066,0.46999999999999886,0.46999999999999886,-0.0,0.12404029178834013,0.2055067106339066,0.6035826830458484,37.63963588702531,200.84240505151521,201.98740537245968,-1.1450003209444617,-0.8784191072409092,Baixa,203.49,-0.2287577683427254,-0.08697478912700006,-0.1648241867003882,-0.2287577683427254,-0.16680378863640435,-0.10452342906908102,-0.09938979899140965,-0.09097681258586245,-0.06802632906765627
2025-09-06 18:15:00,200.43,SOLUSDT,12338.339,2473734.68111,-0.18999999999999773,0.0,0.18999999999999773,0.11518027094631582,0.20439908844577026,0.5635067740376672,36.04121091093472,200.73930378863642,201.91143437868115,-1.1721305900447305,-0.9371614038016736,Baixa,203.49,-0.19431832625706003,-0.0871711408768908,-0.0886181400252322,-0.19431832625706003,-0.18376355576301934,-0.12254408695331799,-0.10833605553725754,-0.09799153801082874,-0.07571147612405328
2025-09-06 18:30:00,199.66,SOLUSDT,29261.149,5852874.76757,-0.7700000000000102,0.0,0.7700000000000102,0.1069531087358647,0.2447991535567874,0.43690146465745106,30.405805506058527,200.46947784147733,201.8016083114284,-1.3321304699510677,-1.0161552170315524,Baixa,203.49,-0.15823874469278826,-0.08535791449265054,-0.18646360501895334,-0.15823874469278826,-0.19817980967938878,-0.14962018642710198,-0.12210868500958905,-0.10787758207954892,-0.087460298822365
2025-09-06 18:45:00,200.04,SOLUSDT,34747.779,6939792.24903,0.37999999999999545,0.37999999999999545,-0.0,0.12645645811187403,0.2273134997313026,0.5563086145844954,35.74539197246679,200.362108381108,201.7156761986758,-1.3535678175678072,-1.0836377371388035,Baixa,203.49,-0.1481790585195692,-0.08695021134666785,-0.18859770376424187,-0.1481790585195692,-0.1833670001166886,-0.16829089739609204,-0.137665429841106,-0.11919390084537215,-0.09750311885361572
2025-09-06 19:00:00,199.9,SOLUSDT,13260.358,2651417.56856,-0.13999999999998636,0.0,0.13999999999998636,0.11742385396102588,0.2210768211790657,0.5311450261260814,34.68940022421785,200.24658128583098,201.62710662800868,-1.380525342177691,-1.1430152581465811,Baixa,203.49,-0.15688429388970357,-0.09163556689074587,-0.11144827782317807,-0.15688429388970357,-0.15207882151608207,-0.1753242336531334,-0.15252354790529862,-0.1266364970626099,-0.10653711357629897
2025-09-06 19:15:00,200.01,SOLUSDT,11607.285,2321779.22408,0.10999999999998522,0.10999999999998522,-0.0,0.1168935786780944,0.20528561966627532,0.5694192260915482,36.282162001393274,200.18743596437324,201.5482233778619,-1.3607874134886515,-1.1865696892149953,Baixa,203.49,-0.13266322041727627,-0.09009236850584396,-0.08733620836737364,-0.13266322041727627,-0.1341484018513561,-0.16937196311862335,-0.15993461897092406,-0.13140594422552085,-0.11297614345289791
2025-09-06 19:30:00,199.74,SOLUSDT,17257.889,3450485.27669,-0.2699999999999818,0.0,0.2699999999999818,0.1085440373439448,0.2099080754043972,0.5171027228696652,34.08488529316875,200.07557697327994,201.4600173594296,-1.384440386149663,-1.2261438286019288,Baixa,203.49,-0.09624741531294177,-0.08506347248116448,-0.08550215627552715,-0.09624741531294177,-0.12953987281708657,-0.15265018446018538,-0.15988103415825805,-0.1377419581691427,-0.11709113014606855
2025-09-06 19:45:00,199.71,SOLUSDT,16721.907,3338982.45297,-0.030000000000001137,0.0,0.030000000000001137,0.10079089181937731,0.1970574985897975,0.5114796064126823,33.83966308527434,199.98418272995997,201.3746506589696,-1.3904679290096453,-1.2590086486834722,Baixa,203.49,-0.09268556148472848,-0.08491403479913877,-0.10162661720661934,-0.09268556148472848,-0.11527990461281092,-0.12992703228453525,-0.15296147491939743,-0.1432975400554257,-0.12009466339902655
2025-09-06 20:00:00,200.19,SOLUSDT,10887.527,2177177.63096,0.47999999999998977,0.47999999999998977,-0.0,0.12787725668942104,0.18298196297624053,0.6988517043399812,41.13671031760193,200.03563704746998,201.3168628219467,-1.2812257744767237,-1.2634520738421227,Baixa,203.49,-0.06251417111352219,-0.07940603310164407,-0.0199699629049956,-0.06251417111352219,-0.07958492845960498,-0.11039981966794093,-0.13305152576996787,-0.1417142264701439,-0.12176272687257478
2025-09-06 20:15:00,200.33,SOLUSDT,6137.858,1229579.3526,0.14000000000001478,0.14000000000001478,-0.0,0.12874316692589202,0.16991182276365194,0.75770576074023,43.10765644991311,200.10922778560249,201.26872317209563,-1.1594953864931483,-1.2426607363723279,Alta,203.49,-0.019635628335141903,-0.0702154949015548,0.06252252782125925,-0.019635628335141903,-0.04942083920186022,-0.09011804656915148,-0.10457011285894206,-0.13158924128117055,-0.1189423459063135
2025-09-06 20:30:00,200.46,SOLUSDT,17666.321,3538326.40676,0.12999999999999545,0.12999999999999545,-0.0,0.1288329407168994,0.15777526399481964,0.8165598171404707,44.950890658027134,200.19692083920188,201.22927326126168,-1.0323524220598017,-1.2005990735098226,Alta,203.49,0.03677327874864437,-0.05674156832099568,0.08064189586596326,0.03677327874864437,-0.012333486544243072,-0.06020974704807311,-0.07966884338546305,-0.1142187166751654,-0.11322555642222064
2025-09-06 20:45:00,200.8,SOLUSDT,9137.182,1832922.54172,0.3400000000000034,0.3400000000000034,-0.0,0.14391630209426398,0.14650560228090395,0.9823262718535818,49.5542174767756,200.34769062940143,201.20833310217574,-0.860642472774316,-1.1326077533627215,Alta,203.49,0.08882995906149017,-0.04202246742725977,0.11923142189948346,0.08882995906149017,0.030303456520412317,-0.021127007255744724,-0.05376387030133036,-0.08832475179208993,-0.10553570867004212
2025-09-06 21:00:00,200.4,SOLUSDT,5540.119,1111145.93895,-0.4000000000000057,0.0,0.4000000000000057,0.13363656623038797,0.16461234497512553,0.8118259068029297,44.807059207771395,200.36076797205106,201.16890221914278,-0.808134247091715,-1.0677130521085203,Alta,203.49,0.08887246929611956,-0.03563112755278866,0.08192356642459112,0.08887246929611956,0.062281163818868106,0.005427471830920635,-0.026747727900828445,-0.060957849558355016,-0.09718749578824357
2025-09-06 21:15:00,200.61,SOLUSDT,3984.894,799052.36226,0.21000000000000796,0.21000000000000796,-0.0,0.13909109721393226,0.15285432033404514,0.909958559954112,47.642843097913826,200.4230759790383,201.14163869625776,-0.71856271721947,-0.9978829851307103,Alta,203.24,0.07915435197207381,-0.031453999379478535,0.0376926748184309,0.07915435197207381,0.07876444429273313,0.029540300842881985,0.0013465467317290557,-0.038486244311624986,-0.08608611056298994
2025-09-06 21:30:00,201.11,SOLUSDT,10057.966,2019848.25447,0.5,0.5,-0.0,0.16487030455579424,0.14193615459589906,1.1615807475212367,53.73755983223221,200.5948069842787,201.14009534522077,-0.5452883609420667,-0.9073640602929816,Alta,203.24,0.08711576397904061,-0.02450502379999959,0.11701950611381211,0.08711576397904061,0.08818047607668557,0.054579468056408884,0.02599242753131386,-0.016346826090859686,-0.07018676337337225
2025-09-06 21:45:00,200.76,SOLUSDT,7724.795,1552170.02021,-0.35000000000002274,0.0,0.35000000000002274,0.15309385423038036,0.15679785783905076,0.9763772052774313,49.40237130190811,200.63610523820904,201.12155410886854,-0.4854488706594964,-0.8229810223662846,Alta,203.24,0.08108682298427874,-0.020236486053642914,0.10651462958534766,0.08108682298427874,0.08756392848608151,0.07370732831503012,0.04646984512400363,0.005855951860425301,-0.0523900725300251
2025-09-06 22:00:00,200.52,SOLUSDT,12443.913,2497982.89464,-0.23999999999998067,0.0,0.23999999999998067,0.14215857892821032,0.16274086799340287,0.8735272257118175,46.62474148887451,200.6070789286568,201.0922100059969,-0.48513107734009964,-0.7554110333610476,Alta,203.07,0.07056511723821257,-0.017346901368105128,0.006135972189048901,0.07056511723821257,0.07290508922171468,0.07835625381203988,0.05866357265419752,0.025124106752458436,-0.03374368221706969
2025-09-06 22:15:00,200.45,SOLUSDT,7130.005,1430460.41191,-0.0700000000000216,0.0,0.0700000000000216,0.13200439471905243,0.15611652027958994,0.8455504547670228,45.81562387432875,200.5678091964926,201.06088268863118,-0.493073492138592,-0.7029435251165566,Alta,203.07,0.03017383792865123,-0.020939735447696672,-0.03414802085822742,0.03017383792865123,0.04878595977343803,0.06832779641961932,0.06413753963050926,0.0361734372072025,-0.0160370849710744
2025-09-06 22:30:00,200.2,SOLUSDT,5512.769,1104340.57137,-0.25,0.0,0.25,0.12257550938197725,0.1628224831167621,0.7528168532725102,42.94897392542755,200.47585689736945,201.01888841113697,-0.5430315137675166,-0.6709611228467486,Alta,203.07,-0.03061962155348565,-0.030308528840484364,-0.06561101564367076,-0.03061962155348565,0.023107326972932628,0.04963978670866814,0.05833042745015854,0.04150507790540307,-0.004078565608000286
2025-09-06 22:45:00,200.4,SOLUSDT,6450.14,1291483.61453,0.20000000000001705,0.20000000000001705,-0.0,0.1281058301404087,0.1511923057512791,0.8473038988581263,45.86705519226534,200.45689267302708,200.98869873254492,-0.5318060595178338,-0.6431301101809657,Alta,203.07,-0.04896471616512879,-0.033903234750719,-0.05545826173274715,-0.04896471616512879,-0.007312361913156843,0.029487415789082507,0.0448404779302669,0.0426555941433357,0.004621526921812576
2025-09-06 23:00:00,200.52,SOLUSDT,11019.435,2206138.38765,0.12000000000000455,0.12000000000000455,-0.0,0.12752684227323696,0.14039285534047344,0.9083570667749831,47.598904973798,200.47266950477032,200.96583537973785,-0.4931658749675307,-0.6131372631382788,Alta,202.91,-0.03797353712386032,-0.032493320860434216,-0.0015936962995665158,-0.03797353712386032,-0.030573557149155165,0.011827683053933447,0.030990498307844942,0.0417595527503578,0.013067648950760931
2025-09-06 23:15:00,200.67,SOLUSDT,8567.172,1720413.40501,0.14999999999997726,0.14999999999997726,-0.0,0.129132067825147,0.13036479424472533,0.9905440235861208,49.76247758648303,200.52200212857775,200.9514043856043,-0.42940225702653834,-0.5763902619159307,Alta,202.84,-0.009480152842900968,-0.027200963745301697,0.032554727775312174,-0.009480152842900968,-0.025787310718997564,0.003567731987411841,0.019326789814797917,0.037882164562774,0.021146601374726334
2025-09-06 23:30:00,200.28,SOLUSDT,7970.039,1597331.5487,-0.38999999999998636,0.0,0.38999999999998636,0.11990834869477936,0.1489101660843868,0.8052395067965189,44.60568826268674,200.46150159643332,200.91865295216016,-0.4571513557268361,-0.5525424806781118,Alta,202.73,0.0036398853678273483,-0.023776526489419053,-0.005583954168522375,0.0036398853678273483,-0.01898334018212018,-0.009233291918518792,0.006435651801659231,0.028286623422074903,0.02442762020397552
2025-09-06 23:45:00,200.16,SOLUSDT,8529.701,1707179.7786,-0.12000000000000455,0.0,0.12000000000000455,0.11134346664515227,0.14684515422121663,0.7582372549891403,43.12485432995921,200.38612619732498,200.88164549107915,-0.49551929375417103,-0.5411378432933237,Alta,202.73,-0.015270085974133278,-0.026128891050932176,-0.06793796562638535,-0.015270085974133278,-0.01816607656515595,-0.02321284772676209,-0.00435158282706985,0.01657211042370149,0.02494853470185479
2025-09-07 00:00:00,200.81,SOLUSDT,14550.837,2917530.02252,0.6500000000000057,0.6500000000000057,-0.0,0.1498189333133561,0.13635621463398687,1.0987319772370217,52.35218165796955,200.49209464799372,200.8781505890753,-0.3860559410815654,-0.510121462850972,Alta,202.73,-0.009702564480612401,-0.024512847585034716,0.015296525780199006,-0.009702564480612401,-0.003713843138160376,-0.01951569640113717,-0.010737463344079197,0.008357654246337397,0.025123055161726266
2025-09-07 00:15:00,200.7,SOLUSDT,11476.515,2302994.73383,-0.11000000000001364,0.0,0.11000000000001364,0.13911758093383067,0.13447362787441736,1.034534303363558,50.84870290234146,200.5440709859953,200.86946031643745,-0.3253893304421638,-0.47317503636921043,Alta,202.73,0.00747307663954202,-0.020439050141854185,0.0789723943351488,0.00747307663954202,0.005875331932115244,-0.00898525714933774,-0.013210440165404217,0.002580740684756027,0.024737028213400652
2025-09-07 00:30:00,201.03,SOLUSDT,10537.636,2115907.48215,0.3300000000000125,0.3300000000000125,-0.0,0.15275203943855795,0.12486836874053041,1.2233045164221554,55.02190578872001,200.66555323949646,200.87729152051367,-0.2117382810172046,-0.42088768529880927,Alta,202.73,0.05660480747964195,-0.009490803793465036,0.0867292957513673,0.05660480747964195,0.023335070377652065,0.0073519662289086305,-0.004051186767405187,0.002908769799278995,0.02378397416756418
2025-09-07 00:45:00,201.15,SOLUSDT,9305.279,1871709.99934,0.12000000000000455,0.12000000000000455,-0.0,0.15041260805008985,0.11594919954477824,1.2972285159416064,56.469284920481144,200.78666492962236,200.89059437317152,-0.10392944354916267,-0.35749603694888,Alta,202.44,0.09745360560973332,0.0017038695622962623,0.12129697181352615,0.09745360560973332,0.04857273135465097,0.026968520126220072,0.011148672861506172,0.0055030059208969785,0.022230837768532727
2025-09-07 01:00:00,201.85,SOLUSDT,23864.228,4812005.839,0.6999999999999886,0.6999999999999886,-0.0,0.1896688503322255,0.10766711386300835,1.761622871897106,63.78940766401436,201.05249869721678,200.93739464765096,0.1151040495658151,-0.262976019645941,Alta,202.44,0.13634020420730858,0.013962217388527773,0.1934727288601618,0.13634020420730858,0.0981259770874315,0.05230214767042377,0.03420066548529777,0.015002254440679274,0.024081023063240184
2025-09-07 01:15:00,202.28,SOLUSDT,21450.193,4331339.71277,0.4300000000000068,0.4300000000000068,-0.0,0.2068353610227813,0.09997660572993632,2.0688375996830617,67.41437213545362,201.3593740229126,201.00288759166799,0.3564864312446048,-0.13908352946783184,Alta,202.44,0.20175515315548975,0.03269576775983021,0.2863545466451145,0.20175515315548975,0.15296948281556827,0.08612055014675815,0.06415574386922515,0.034832047973361355,0.029947985342541214
